positionName,companySize,industryField,financeStage,companyLabelList,firstType,secondType,thirdType,createTime,district,salary,workYear,jobNature,education,positionAdvantage,imState,score,matchScore,famousCompany
数据分析,50-150人,"移动互联网,电商",A轮,"['绩效奖金', '带薪年假', '定期体检', '弹性工作']",产品|需求|项目类,数据分析,数据分析,2020/3/16 11:00,余杭区,37500,1-3年,全职,本科,五险一金、弹性工作、带薪年假、年度体检,today,233,15.101875,FALSE
数据建模,150-500人,电商,B轮,"['年终奖金', '做五休二', '六险一金', '子女福利']",开发|测试|运维类,数据开发,建模,2020/3/16 11:08,滨江区,15000,3-5年,全职,本科,"六险一金,定期体检,丰厚年终",disabled,176,32.559414,FALSE
数据分析,2000人以上,"移动互联网,企业服务",上市公司,"['节日礼物', '年底双薪', '股票期权', '带薪年假']",产品|需求|项目类,数据分析,数据分析,2020/3/16 10:33,江干区,3500,1-3年,全职,本科,五险一金 周末双休 不加班 节日福利,today,80,14.972357,FALSE
数据分析,500-2000人,电商,D轮及以上,"['生日趴', '每月腐败基金', '每月补贴', '年度旅游']",开发|测试|运维类,数据开发,数据分析,2020/3/16 10:10,江干区,45000,3-5年,全职,本科,年终奖等,threeDays,68,12.874153,TRUE
数据分析,2000人以上,物流丨运输,上市公司,"['技能培训', '免费班车', '专项奖金', '岗位晋升']",产品|需求|项目类,数据分析,数据分析,2020/3/16 9:56,余杭区,30000,3-5年,全职,大专,五险一金,disabled,66,12.755375,TRUE
数据分析,50-150人,"移动互联网,社交",B轮,"['股票期权', '扁平管理', '五险一金', '岗位晋升']",产品|需求|项目类,数据分析,数据分析,2020/3/16 9:54,余杭区,50000,1-3年,全职,本科,团建 野生蹦迪 文艺咖 声音发烧友,threeDays,66,12.718732,FALSE
数据分析,50-150人,"移动互联网,电商",A轮,"['大牛团队', '扁平管理', '年底双薪', '股票期权']",产品|需求|项目类,数据分析,数据分析,2020/3/16 9:41,萧山区,30000,1-3年,全职,本科,大牛团队 大数据产品,threeDays,65,12.615116,FALSE
数据建模工程师,500-2000人,移动互联网,上市公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",开发|测试|运维类,数据开发,建模,2020/3/16 11:18,西湖区,35000,应届毕业生,全职,不限,16-18薪 大数据A股上市公司,today,47,3.0332372,TRUE
数据分析专家,150-500人,"数据服务,广告营销",A轮,"['开放式办公', '扁平管理', '带薪假期', '弹性工作时间']",产品|需求|项目类,数据分析,其他数据分析,2020/3/16 10:57,余杭区,60000,5-10年,全职,本科,六险一金、境内外旅游、带薪年假、培训发展,today,24,1.1419516,FALSE
数据分析师,500-2000人,移动互联网,上市公司,"['绩效奖金', '股票期权', '年底双薪', '专项奖金']",开发|测试|运维类,数据开发,BI工程师,2020/3/16 11:18,西湖区,40000,1-3年,全职,本科,核心业务，季度奖，年终奖,today,18,1.177361,TRUE
