订单ID,订单日期,邮寄方式,国家,地区,省/自治区,细分,类别,子类别,制造商,产品名称,数量,销售额,利润
A1000001,2013/1/1,二级,中国,中南,湖南,公司,办公用品,收纳具,Rogers,"Rogers 文件车, 单宽度",5,"3,305",1322 
A1000001,2013/1/1,二级,中国,中南,湖南,公司,家具,桌子,Barricks,"Barricks 圆桌, 白色",3,"5,289",-635 
A1000001,2013/1/1,二级,中国,中南,湖南,公司,技术,电话,诺基亚,"诺基亚 智能手机, 整包",3,"1,725",69 
A1000001,2013/1/1,二级,中国,中南,湖南,公司,技术,配件,贝尔金,"贝尔金 记忆卡, 实惠",3,"1,607",611 
A1000003,2013/1/2,二级,中国,华东,福建,消费者,办公用品,收纳具,Rogers,"Rogers 盒, 工业",4,456,128 
A1000003,2013/1/2,二级,中国,华东,福建,消费者,家具,椅子,Safco,"SAFCO 折叠椅, 黑色",1,389,23 
A1000003,2013/1/2,二级,中国,华东,福建,消费者,技术,复印机,佳能,"佳能 墨水, 红色",3,"2,035",793 
A1000003,2013/1/2,二级,中国,华东,福建,消费者,技术,电话,诺基亚,"诺基亚 充电器, 混合尺寸",7,"20,871",9809 
A1000003,2013/1/2,二级,中国,华东,福建,消费者,技术,配件,罗技,"罗技 鼠标, 回收",2,253,83 
A1000002,2013/1/2,标准级,中国,东北,辽宁,公司,办公用品,器具,Cuisinart,"Cuisinart 冰箱, 白色",3,"6,919",692 
A1000002,2013/1/2,标准级,中国,东北,辽宁,公司,技术,配件,贝尔金,"贝尔金 键区, 回收",8,"2,074",414 
A1000004,2013/1/3,标准级,中国,东北,辽宁,小型企业,办公用品,器具,Cuisinart,"Cuisinart 炉灶, 白色",7,"10,514",700 
A1000004,2013/1/3,标准级,中国,东北,辽宁,小型企业,办公用品,器具,KitchenAid,"KitchenAid 冰箱, 黑色",1,"1,477",-566 
A1000004,2013/1/3,标准级,中国,东北,辽宁,小型企业,办公用品,装订机,Ibico,"Ibico 装订机盖, 透明",5,184,-71 
A1000004,2013/1/3,标准级,中国,东北,辽宁,小型企业,家具,椅子,Harbour Creations,"Harbour Creations 椅垫, 红色",2,403,-27 
A1000004,2013/1/3,标准级,中国,东北,辽宁,小型企业,技术,复印机,佳能,"佳能 墨水, 数字化",2,822,96 
A1000004,2013/1/3,标准级,中国,东北,辽宁,小型企业,技术,电话,思科,"思科 充电器, 混合尺寸",2,"3,664",-1832 
A1000005,2013/1/4,标准级,中国,中南,广西,公司,办公用品,标签,Avery,"Avery 文件夹标签, 可调",14,459,229 
A1000005,2013/1/4,标准级,中国,中南,广西,公司,家具,桌子,Hon,"Hon 咖啡桌, 黑色",2,"2,211",29 
A1000006,2013/1/4,二级,中国,华北,北京,公司,办公用品,纸张,Green Bar,"Green Bar 笔记本, 优质",5,695,333 
A1000006,2013/1/4,二级,中国,华北,北京,公司,家具,椅子,Hon,"Hon 摇椅, 每套两件",3,"1,116",-261 
A1000006,2013/1/4,二级,中国,华北,北京,公司,家具,椅子,Novimex,"Novimex 摇椅, 红色",9,"3,312",-552 
A1000010,2013/1/5,一级,中国,西南,云南,消费者,办公用品,系固件,Accos,"Accos 按钉, 金属",5,342,119 
