获奖时间,奖牌类型,运动员,国家id,运动类别
2021/8/8 16:44,1,塞尔维亚男子水球队,107,水球
2021/8/8 16:44,2,希腊男子水球队,171,水球
2021/8/8 15:34,1,法国女子手球队,144,手球
2021/8/8 15:34,2,俄奥委会女子手球队,23062,手球
2021/8/8 14:49,1,巴霍迪尔·贾洛洛夫,15,拳击
2021/8/8 14:49,2,理查德·托雷斯,5,拳击
2021/8/8 14:13,1,劳伦·普莱斯,211,拳击
2021/8/8 14:10,2,李倩,26,拳击
2021/8/8 14:07,1,美国女子排球队,5,排球
2021/8/8 14:07,2,巴西女子排球队,16,排球
2021/8/8 13:47,3,匈牙利男子水球队,28,水球
2021/8/8 13:38,2,凯肖恩·戴维斯,5,拳击
2021/8/8 13:38,1,安迪·克鲁兹,169,拳击
2021/8/8 13:19,1,凯莉·哈灵顿,19,拳击
2021/8/8 13:19,2,比阿特丽斯·伊斯敏·费雷拉,16,拳击
2021/8/8 12:08,1,美国女子篮球队,5,篮球
2021/8/8 12:08,2,日本女子篮球队,18,篮球
2021/8/8 12:00,1,詹妮弗·瓦伦特,5,场地自行车赛
2021/8/8 12:00,2,梶原悠未,18,场地自行车赛
2021/8/8 12:00,3,基尔斯滕·维尔德,1,场地自行车赛
2021/8/8 11:55,1,保加利亚艺术体操队,148,艺术体操
2021/8/8 11:55,2,ROC艺术体操队,23062,艺术体操
2021/8/8 11:55,3,意大利艺术体操队,6,艺术体操
2021/8/8 11:31,3,挪威女子手球队,153,手球
2021/8/8 11:10,1,贾森·肯尼,211,场地自行车赛
2021/8/8 11:10,2,穆赫德·阿齐兹·哈斯尼·阿旺,232,场地自行车赛
2021/8/8 11:10,3,哈里·拉夫雷森,1,场地自行车赛
2021/8/8 10:59,1,凯尔西·米切尔,159,场地自行车赛
2021/8/8 10:59,2,奥廖娜 ·斯塔里科娃,13,场地自行车赛
2021/8/8 10:59,3,李慧诗,38,场地自行车赛
2021/8/8 9:27,3,塞尔维亚女子排球队,107,排球
2021/8/8 8:15,1,埃鲁德·基普乔格,229,田径
2021/8/8 8:15,2,阿卜迪·拿塞,1,田径
2021/8/8 8:15,3,巴希尔·阿伯迪,147,田径
2021/8/7 22:52,1,法国男子排球队,144,排球
2021/8/7 22:52,2,俄奥委会男子排球队,23062,排球
2021/8/7 22:13,1,巴西男子足球队,16,足球
2021/8/7 22:13,2,西班牙男子足球队,145,足球
2021/8/7 21:39,1,法国男子手球队,144,手球
2021/8/7 21:39,2,丹麦男子手球队,152,手球
2021/8/7 21:19,2,尼科拉·麦克德莫特,157,田径
2021/8/7 21:19,3,雅罗斯拉娃 ·马胡奇赫,13,田径
2021/8/7 21:19,1,玛利亚·拉西茨肯,23062,田径
2021/8/7 21:12,2,美国男子棒球队,5,棒球
2021/8/7 21:12,1,日本男子棒球队,18,棒球
2021/8/7 21:08,1,迈克尔·谢利等,5,田径
2021/8/7 21:08,2,雷马维·博内法夏等,1,田径
2021/8/7 21:08,3,伊萨克·马夸拉等,250,田径
2021/8/7 20:50,3,澳大利亚男子篮球队,157,篮球
2021/8/7 20:43,1,麦克劳林等,5,田径
2021/8/7 20:43,2,维塔利娅·卡奇马雷克等,150,田径
2021/8/7 20:43,3,布莉安娜·威廉姆斯等,248,田径
2021/8/7 20:31,1,须崎优衣,18,自由式摔跤
2021/8/7 20:31,3,玛利亚·斯塔德尼克,214,自由式摔跤
2021/8/7 20:31,3,萨拉·安·希尔德布兰特,5,自由式摔跤
2021/8/7 20:27,3,乌古尔·阿克塔斯,33,空手道
2021/8/7 20:27,3,荒贺龙太郎,18,空手道
2021/8/7 20:27,1,塞贾德·甘杰扎德,87,空手道
2021/8/7 20:27,2,塔雷格·哈米迪,98,空手道
2021/8/7 20:26,2,孙亚楠,26,自由式摔跤
2021/8/7 20:14,1,费尔亚尔·阿卜杜拉齐兹,170,空手道
2021/8/7 20:14,2,伊琳娜·扎列茨卡,214,空手道
2021/8/7 20:14,3,索菲娅·贝鲁尔采娃,160,空手道
2021/8/7 20:14,1,尼拉吉·秋普拉,227,田径
2021/8/7 20:14,2,雅库布·瓦德勒杰,17,田径
2021/8/7 20:14,3,维特兹斯拉夫·维塞里,17,田径
2021/8/7 20:12,1,亨利克·冯·埃克曼等,154,马术-障碍赛
2021/8/7 20:12,2,劳拉·克劳特等,5,马术-障碍赛
2021/8/7 20:12,3,皮耶特·德福斯,147,马术-障碍赛
2021/8/7 19:52,1,阿卜杜尔拉希德·萨达拉维,23062,自由式摔跤
2021/8/7 19:52,2,凯尔·弗雷德里克·斯奈德,5,自由式摔跤
2021/8/7 19:52,3,雷内里斯·萨拉斯·佩雷斯,169,自由式摔跤
2021/8/7 19:52,3,亚伯拉罕·德赫苏斯·孔耶多·鲁阿诺,6,自由式摔跤
2021/8/7 19:49,1,雅各布 ·英格布里森,153,田径
2021/8/7 19:49,2,蒂莫西·切鲁约特,229,田径
2021/8/7 19:49,3,乔什·克尔,211,田径
2021/8/7 19:45,1,斯维特兰娜·罗玛思娜等,23062,花样游泳
2021/8/7 19:45,3,弗拉季斯拉娃·阿列克谢娃,13,花样游泳
